,Actual sales,Forecasted sales,max_sales,min_sales
0,4,11,19,3
1,4,11,19,3
2,14,14,22,6
3,14,14,22,6
4,8,11,19,3
5,4,11,19,3
6,4,11,19,3
7,26,23,31,15
8,8,11,19,3
9,16,16,24,8
10,14,14,22,6
11,4,15,23,7
12,20,13,21,5
13,10,14,22,6
14,14,14,22,6
15,4,16,24,8
16,10,14,22,6
17,22,13,21,5
18,14,16,24,8
19,12,11,19,3
20,6,11,19,3
21,14,10,18,2
22,14,11,19,3
23,6,12,20,4
24,4,11,19,3
25,4,11,19,3
26,14,10,18,2
27,14,10,18,2
28,10,12,20,4
29,14,10,18,2
30,4,11,19,3
31,4,11,19,3
32,4,11,19,3
33,4,11,19,3
34,8,11,19,3
35,8,11,19,3
36,14,11,19,3
37,14,10,18,2
38,8,11,19,3
39,8,11,19,3
40,8,11,19,3
41,10,11,19,3
42,14,11,19,3
43,14,11,19,3
44,4,11,19,3
45,14,11,19,3
46,6,11,19,3
47,4,11,19,3
48,4,11,19,3
49,14,11,19,3
50,14,11,19,3
51,12,11,19,3
52,14,10,18,2
53,8,11,19,3
54,4,11,19,3
55,16,11,19,3
56,4,11,19,3
57,8,11,19,3
58,14,11,19,3
59,4,11,19,3
60,12,10,18,2
61,14,10,18,2
62,12,10,18,2
63,14,10,18,2
64,8,11,19,3
65,12,11,19,3
66,10,10,18,2
67,8,11,19,3
68,10,11,19,3
69,4,11,19,3
70,14,11,19,3
71,10,11,19,3
72,14,10,18,2
73,4,11,19,3
74,14,10,18,2
75,14,11,19,3
76,18,11,19,3
77,18,11,19,3
78,4,11,19,3
79,4,11,19,3
80,14,10,18,2
81,4,11,19,3
82,4,11,19,3
83,4,11,19,3
84,14,10,18,2
85,16,11,19,3
86,4,10,18,2
87,4,11,19,3
88,8,10,18,2
89,14,11,19,3
90,14,11,19,3
91,8,11,19,3
92,14,11,19,3
93,4,11,19,3
94,14,11,19,3
95,4,11,19,3
96,14,10,18,2
97,14,11,19,3
98,14,11,19,3
99,14,10,18,2
100,14,10,18,2
101,8,11,19,3
102,6,11,19,3
103,8,11,19,3
104,4,11,19,3
105,8,11,19,3
106,14,11,19,3
107,4,11,19,3
108,14,10,18,2
109,4,11,19,3
110,14,10,18,2
111,4,11,19,3
112,14,11,19,3
113,14,11,19,3
114,4,11,19,3
115,14,11,19,3
116,7,11,19,3
117,14,10,18,2
118,4,11,19,3
119,14,10,18,2
120,14,11,19,3
121,8,11,19,3
122,4,11,19,3
123,4,11,19,3
124,8,11,19,3
125,14,11,19,3
126,4,11,19,3
127,14,11,19,3
128,14,10,18,2
129,14,11,19,3
130,6,11,19,3
131,8,11,19,3
132,8,11,19,3
133,6,11,19,3
134,14,11,19,3
135,4,11,19,3
136,14,10,18,2
137,14,11,19,3
138,20,11,19,3
139,16,11,19,3
140,14,10,18,2
141,14,10,18,2
142,4,11,19,3
143,6,11,19,3
144,12,10,18,2
145,4,10,18,2
146,8,10,18,2
147,4,11,19,3
148,4,10,18,2
149,14,11,19,3
150,14,10,18,2
151,4,11,19,3
152,14,10,18,2
153,14,11,19,3
154,8,11,19,3
155,12,11,19,3
156,4,11,19,3
157,14,11,19,3
158,16,11,19,3
159,7,11,19,3
160,4,11,19,3
161,6,11,19,3
162,14,11,19,3
163,6,11,19,3
164,14,10,18,2
165,6,11,19,3
166,14,10,18,2
167,4,11,19,3
168,14,10,18,2
169,4,11,19,3
170,18,11,19,3
171,6,11,19,3
172,4,11,19,3
173,22,11,19,3
174,8,11,19,3
175,10,10,18,2
176,8,11,19,3
177,14,10,18,2
178,6,11,19,3
179,14,10,18,2
180,6,11,19,3
181,14,11,19,3
182,14,10,18,2
183,22,13,21,5
184,4,14,22,6
185,10,10,18,2
186,6,11,19,3
187,14,10,18,2
188,10,10,18,2
189,16,12,20,4
190,20,12,20,4
191,4,11,19,3
192,12,11,19,3
193,12,12,20,4
194,14,13,21,5
195,22,12,20,4
196,22,13,21,5
197,6,12,20,4
198,8,12,20,4
199,14,11,19,3
200,26,17,25,9
201,12,15,23,7
202,36,17,25,9
203,20,23,31,15
204,22,20,28,12
205,34,24,32,16
206,22,21,29,13
207,28,27,35,19
208,56,24,32,16
209,16,31,39,23
210,22,31,39,23
211,28,31,39,23
212,12,18,26,10
213,20,27,35,19
214,12,18,26,10
215,18,26,34,18
216,11,18,26,10
217,16,21,29,13
218,22,20,28,12
219,8,18,26,10
220,14,16,24,8
221,8,17,25,9
222,10,17,25,9
223,14,13,21,5
224,4,14,22,6
225,20,14,22,6
226,12,12,20,4
227,4,12,20,4
228,6,12,20,4
229,16,14,22,6
230,10,10,18,2
231,10,10,18,2
232,14,10,18,2
233,8,10,18,2
234,8,10,18,2
235,4,11,19,3
236,6,11,19,3
237,4,11,19,3
238,8,11,19,3
239,4,11,19,3
240,18,10,18,2
241,14,10,18,2
242,6,11,19,3
243,14,10,18,2
244,12,11,19,3
245,4,11,19,3
246,42,13,21,5
247,14,23,31,15
248,18,27,35,19
249,26,19,27,11
250,24,19,27,11
251,14,16,24,8
252,8,16,24,8
253,32,18,26,10
254,28,23,31,15
255,39,21,29,13
256,12,16,24,8
257,7,18,26,10
258,22,30,38,22
259,40,23,31,15
260,14,20,28,12
261,28,26,34,18
262,19,30,38,22
263,28,26,34,18
264,10,19,27,11
265,22,27,35,19
266,31,24,32,16
267,6,17,25,9
268,14,17,25,9
269,22,23,31,15
270,18,24,32,16
271,22,19,27,11
272,26,31,39,23
273,36,24,32,16
274,22,22,30,14
275,16,23,31,15
276,19,20,28,12
277,28,27,35,19
278,12,18,26,10
279,10,19,27,11
280,16,22,30,14
281,30,25,33,17
282,32,25,33,17
283,34,25,33,17
284,27,32,40,24
285,32,26,34,18
286,30,27,35,19
287,28,28,36,20
288,22,24,32,16
289,22,23,31,15
290,20,22,30,14
291,16,20,28,12
292,24,30,38,22
293,25,30,38,22
294,27,30,38,22
295,32,25,33,17
296,28,26,34,18
297,20,19,27,11
298,10,20,28,12
299,40,24,32,16
300,22,28,36,20
301,46,25,33,17
302,22,30,38,22
303,30,26,34,18
304,30,26,34,18
305,12,19,27,11
306,20,28,36,20
307,14,18,26,10
308,12,17,25,9
309,20,25,33,17
310,12,19,27,11
311,13,18,26,10
312,16,23,31,15
313,24,31,39,23
314,42,25,33,17
315,28,28,36,20
316,26,27,35,19
317,14,17,25,9
318,4,19,27,11
319,20,27,35,19
320,17,25,33,17
