,Actual sales,Forecasted sales,max_sales,min_sales
292,12,11,18,4
293,12,12,19,5
294,12,13,20,6
295,25,10,17,3
296,8,9,16,2
297,13,13,20,6
298,10,11,18,4
299,19,12,19,5
300,8,13,20,6
301,4,11,18,4
302,4,12,19,5
303,12,11,18,4
304,18,11,18,4
305,18,11,18,4
306,8,12,19,5
307,20,12,19,5
308,4,13,20,6
309,10,13,20,6
310,22,12,19,5
311,10,12,19,5
312,8,12,19,5
313,8,12,19,5
314,10,12,19,5
315,12,12,19,5
316,4,12,19,5
317,10,11,18,4
318,16,12,19,5
319,12,11,18,4
320,10,11,18,4
321,6,12,19,5
322,12,13,20,6
323,34,12,19,5
324,20,11,18,4
325,6,9,16,2
326,4,9,16,2
327,14,10,17,3
328,4,10,17,3
329,15,11,18,4
330,18,10,17,3
331,6,9,16,2
332,6,9,16,2
333,4,8,15,1
334,4,8,15,1
335,10,12,19,5
336,29,12,19,5
337,6,10,17,3
338,10,10,17,3
339,10,10,17,3
340,8,9,16,2
341,4,9,16,2
342,8,9,16,2
343,6,9,16,2
344,14,9,16,2
345,4,9,16,2
346,8,10,17,3
347,14,10,17,3
348,10,10,17,3
349,10,10,17,3
350,22,10,17,3
351,12,11,18,4
352,14,11,18,4
353,4,11,18,4
354,12,11,18,4
355,16,12,19,5
356,8,12,19,5
357,18,12,19,5
358,16,12,19,5
359,24,11,18,4
360,4,12,19,5
361,4,11,18,4
362,4,11,18,4
363,6,11,18,4
364,10,11,18,4
365,26,10,17,3
366,12,9,16,2
367,18,29,36,22
368,27,10,17,3
369,4,10,17,3
370,10,10,17,3
371,16,33,40,26
372,32,11,18,4
373,18,27,34,20
374,19,28,35,21
375,35,23,30,16
376,26,22,29,15
377,18,23,30,16
378,28,22,29,15
379,22,22,29,15
380,4,12,19,5
381,4,13,20,6
382,28,11,18,4
383,4,9,16,2
384,10,9,16,2
385,10,9,16,2
386,4,9,16,2
387,10,9,16,2
388,10,9,16,2
389,10,9,16,2
390,13,9,16,2
391,4,10,17,3
392,10,10,17,3
393,20,10,17,3
394,10,10,17,3
395,10,10,17,3
396,12,11,18,4
397,4,11,18,4
398,14,11,18,4
399,6,11,18,4
400,12,11,18,4
401,4,12,19,5
402,12,12,19,5
403,10,12,19,5
404,4,12,19,5
405,8,11,18,4
406,12,11,18,4
407,6,12,19,5
408,6,11,18,4
409,10,12,19,5
410,10,10,17,3
411,10,11,18,4
412,12,10,17,3
413,10,11,18,4
414,12,10,17,3
415,4,10,17,3
416,10,10,17,3
417,10,11,18,4
418,4,10,17,3
419,10,10,17,3
420,10,10,17,3
421,10,10,17,3
422,10,10,17,3
423,10,11,18,4
424,10,10,17,3
425,10,11,18,4
426,10,9,16,2
427,10,9,16,2
428,20,10,17,3
429,14,11,18,4
430,16,33,40,26
431,20,32,39,25
432,38,20,27,13
433,14,11,18,4
434,14,11,18,4
435,10,12,19,5
436,12,10,17,3
437,8,12,19,5
438,12,10,17,3
439,4,38,45,31
440,36,25,32,18
441,28,25,32,18
442,30,27,34,20
443,28,26,33,19
444,24,22,29,15
445,18,28,35,21
446,27,22,29,15
447,12,21,28,14
448,18,25,32,18
449,14,21,28,14
450,24,20,27,13
451,10,18,25,11
452,14,14,21,7
453,10,29,36,22
454,28,12,19,5
455,18,14,21,7
456,12,41,48,34
457,42,36,43,29
458,32,36,43,29
459,29,36,43,29
460,36,26,33,19
461,30,25,32,18
462,12,13,20,6
463,18,37,44,30
464,48,25,32,18
465,19,32,39,25
466,30,22,29,15
467,20,21,28,14
468,19,22,29,15
469,18,22,29,15
470,14,12,19,5
471,14,11,18,4
472,6,14,21,7
473,10,12,19,5
474,26,22,29,15
475,22,24,31,17
476,28,13,20,6
477,16,31,38,24
