,Actual sales,Forecasted sales,max_sales,min_sales
0,8,9,13,5
1,6,9,13,5
2,7,9,13,5
3,8,9,13,5
4,14,14,18,10
5,11,12,16,8
6,14,14,18,10
7,7,9,13,5
8,10,11,15,7
9,7,9,13,5
10,8,9,13,5
11,9,9,13,5
12,5,9,13,5
13,12,9,13,5
14,13,10,14,6
15,15,11,15,7
16,9,10,14,6
17,12,10,14,6
18,11,10,14,6
19,7,10,14,6
20,9,10,14,6
21,10,10,14,6
22,7,9,13,5
23,5,9,13,5
24,9,9,13,5
25,10,9,13,5
26,14,9,13,5
27,11,9,13,5
28,7,9,13,5
29,4,9,13,5
30,10,9,13,5
31,7,9,13,5
32,16,9,13,5
33,9,9,13,5
34,7,9,13,5
35,7,9,13,5
36,9,9,13,5
37,8,9,13,5
38,6,9,13,5
39,15,9,13,5
40,8,9,13,5
41,6,9,13,5
42,4,9,13,5
43,5,9,13,5
44,4,9,13,5
45,7,9,13,5
46,6,9,13,5
47,15,9,13,5
48,6,9,13,5
49,9,9,13,5
50,10,9,13,5
51,11,9,13,5
52,8,9,13,5
53,9,9,13,5
54,11,9,13,5
55,14,9,13,5
56,12,9,13,5
57,12,10,14,6
58,19,11,15,7
59,9,12,16,8
60,11,13,17,9
61,8,12,16,8
62,9,11,15,7
63,11,11,15,7
64,9,10,14,6
65,7,10,14,6
66,6,9,13,5
67,10,9,13,5
68,7,9,13,5
69,3,9,13,5
70,9,9,13,5
71,4,9,13,5
72,10,9,13,5
73,11,9,13,5
74,7,9,13,5
75,11,9,13,5
76,8,9,13,5
77,9,9,13,5
78,7,9,13,5
79,11,9,13,5
80,11,9,13,5
81,6,9,13,5
82,4,9,13,5
83,12,9,13,5
84,8,9,13,5
85,4,9,13,5
86,12,9,13,5
87,7,9,13,5
88,8,9,13,5
89,4,9,13,5
90,5,9,13,5
91,7,9,13,5
92,7,9,13,5
93,3,9,13,5
94,9,9,13,5
95,10,9,13,5
96,8,9,13,5
97,10,9,13,5
98,9,9,13,5
99,7,9,13,5
100,15,9,13,5
101,11,9,13,5
102,12,9,13,5
103,10,9,13,5
104,9,9,13,5
105,8,9,13,5
106,6,9,13,5
107,8,9,13,5
108,6,9,13,5
109,12,9,13,5
110,7,9,13,5
111,12,10,14,6
112,9,9,13,5
113,8,9,13,5
114,7,9,13,5
115,9,9,13,5
116,7,9,13,5
117,7,9,13,5
118,10,9,13,5
119,8,9,13,5
120,13,9,13,5
121,10,9,13,5
122,11,9,13,5
123,9,9,13,5
124,7,9,13,5
125,8,9,13,5
126,4,9,13,5
127,7,9,13,5
128,8,9,13,5
129,8,9,13,5
130,6,9,13,5
131,9,9,13,5
132,7,9,13,5
133,4,9,13,5
134,4,9,13,5
135,4,9,13,5
136,8,9,13,5
137,5,9,13,5
138,7,9,13,5
139,10,9,13,5
140,8,9,13,5
141,5,9,13,5
142,8,9,13,5
143,6,9,13,5
144,14,9,13,5
