,Actual sales,Forecasted sales,max_sales,min_sales
0,7,8,12,4
1,7,8,12,4
2,6,8,12,4
3,8,9,13,5
4,7,8,12,4
5,9,9,13,5
6,5,8,12,4
7,7,8,12,4
8,5,8,12,4
9,6,8,12,4
10,11,12,16,8
11,7,8,12,4
12,10,8,12,4
13,3,8,12,4
14,5,8,12,4
15,8,8,12,4
16,5,8,12,4
17,11,9,13,5
18,8,8,12,4
19,7,8,12,4
20,17,12,16,8
21,11,11,15,7
22,12,11,15,7
23,10,10,14,6
24,12,11,15,7
25,7,9,13,5
26,8,10,14,6
27,2,9,13,5
28,13,13,17,9
29,8,10,14,6
30,8,10,14,6
31,5,10,14,6
32,6,9,13,5
33,6,9,13,5
34,3,8,12,4
35,10,9,13,5
36,9,9,13,5
37,10,9,13,5
38,11,10,14,6
39,7,8,12,4
40,7,8,12,4
41,7,8,12,4
42,7,8,12,4
43,8,8,12,4
44,6,8,12,4
45,12,9,13,5
46,5,8,12,4
47,4,8,12,4
48,8,8,12,4
49,12,9,13,5
50,11,9,13,5
51,11,9,13,5
52,5,8,12,4
53,8,9,13,5
54,13,11,15,7
55,9,9,13,5
56,12,11,15,7
57,7,9,13,5
58,6,9,13,5
59,7,9,13,5
60,14,12,16,8
61,7,9,13,5
62,5,9,13,5
63,4,9,13,5
64,10,10,14,6
65,13,11,15,7
66,10,10,14,6
67,7,9,13,5
68,8,9,13,5
69,7,9,13,5
70,12,11,15,7
71,10,10,14,6
72,8,9,13,5
73,8,9,13,5
74,4,8,12,4
75,8,9,13,5
76,6,8,12,4
77,6,8,12,4
78,6,8,12,4
79,11,9,13,5
80,8,8,12,4
81,8,8,12,4
82,4,8,12,4
83,4,8,12,4
84,9,8,12,4
85,5,8,12,4
86,7,8,12,4
87,5,8,12,4
88,12,9,13,5
89,9,9,13,5
90,8,8,12,4
91,8,8,12,4
92,6,8,12,4
93,6,8,12,4
94,9,8,12,4
95,12,9,13,5
96,9,9,13,5
97,5,8,12,4
98,8,9,13,5
99,5,8,12,4
100,6,8,12,4
101,9,8,12,4
102,8,8,12,4
103,10,9,13,5
104,14,10,14,6
105,8,9,13,5
106,10,9,13,5
107,7,8,12,4
108,8,9,13,5
109,14,11,15,7
110,7,9,13,5
111,6,9,13,5
112,9,9,13,5
113,5,9,13,5
114,8,9,13,5
115,8,9,13,5
116,14,11,15,7
117,6,9,13,5
118,9,9,13,5
119,12,10,14,6
120,10,10,14,6
121,5,8,12,4
122,8,9,13,5
123,7,9,13,5
124,8,9,13,5
125,7,9,13,5
126,7,9,13,5
127,4,8,12,4
128,6,8,12,4
129,8,8,12,4
130,4,8,12,4
131,8,8,12,4
132,7,8,12,4
133,10,8,12,4
134,8,8,12,4
135,3,8,12,4
136,4,8,12,4
137,5,8,12,4
138,8,8,12,4
139,9,8,12,4
140,7,8,12,4
141,4,8,12,4
142,3,8,12,4
143,10,8,12,4
144,5,8,12,4
145,5,8,12,4
146,11,8,12,4
147,8,8,12,4
148,9,8,12,4
149,6,8,12,4
150,7,8,12,4
151,6,8,12,4
152,7,8,12,4
153,2,8,12,4
154,4,8,12,4
155,5,8,12,4
156,7,8,12,4
157,4,8,12,4
158,8,8,12,4
159,9,8,12,4
160,8,8,12,4
161,6,8,12,4
162,9,8,12,4
163,8,8,12,4
164,12,9,13,5
165,5,8,12,4
166,6,8,12,4
167,10,9,13,5
168,7,8,12,4
169,5,8,12,4
170,10,9,13,5
171,10,9,13,5
172,3,8,12,4
173,11,9,13,5
174,5,8,12,4
175,7,8,12,4
176,10,9,13,5
177,18,13,17,9
178,12,12,16,8
179,7,10,14,6
180,4,9,13,5
181,12,12,16,8
182,13,13,17,9
183,18,14,18,10
184,12,13,17,9
185,6,11,15,7
186,9,12,16,8
187,5,11,15,7
188,16,14,18,10
189,14,14,18,10
190,20,14,18,10
191,17,14,18,10
192,15,15,19,11
193,11,14,18,10
194,10,14,18,10
195,10,14,18,10
196,14,15,19,11
197,22,17,21,13
198,20,16,20,12
199,20,16,20,12
200,11,16,20,12
201,17,15,19,11
202,14,15,19,11
203,15,15,19,11
204,17,16,20,12
205,12,15,19,11
206,11,16,20,12
207,15,15,19,11
208,22,16,20,12
209,19,17,21,13
210,16,16,20,12
211,16,16,20,12
212,22,18,22,14
213,19,17,21,13
214,19,17,21,13
215,15,16,20,12
216,12,16,20,12
217,13,16,20,12
218,11,17,21,13
219,12,15,19,11
220,7,13,17,9
221,12,15,19,11
222,13,15,19,11
223,24,15,19,11
224,10,18,22,14
225,16,15,19,11
226,11,19,23,15
227,18,17,21,13
228,23,17,21,13
229,14,15,19,11
230,15,15,19,11
231,11,19,23,15
232,21,15,19,11
233,19,15,19,11
234,18,15,19,11
235,15,15,19,11
236,14,16,20,12
237,9,16,20,12
238,7,14,18,10
239,18,14,18,10
240,10,16,20,12
241,8,14,18,10
242,15,14,18,10
243,10,15,19,11
244,10,13,17,9
245,11,13,17,9
246,7,11,15,7
247,6,10,14,6
248,10,11,15,7
249,16,13,17,9
250,9,12,16,8
251,22,16,20,12
252,19,15,19,11
253,11,16,20,12
254,10,16,20,12
255,16,15,19,11
256,14,15,19,11
257,19,16,20,12
258,18,16,20,12
259,13,15,19,11
260,12,15,19,11
261,14,15,19,11
262,18,15,19,11
263,17,15,19,11
264,23,18,22,14
265,16,16,20,12
266,13,17,21,13
267,14,16,20,12
268,17,18,22,14
269,15,16,20,12
270,20,19,23,15
271,20,19,23,15
272,16,17,21,13
273,19,18,22,14
274,15,17,21,13
275,11,17,21,13
276,14,15,19,11
277,8,14,18,10
278,12,15,19,11
279,12,15,19,11
280,19,15,19,11
281,19,15,19,11
282,12,15,19,11
283,20,15,19,11
284,16,15,19,11
285,15,15,19,11
286,20,16,20,12
287,11,15,19,11
288,14,15,19,11
289,21,16,20,12
290,18,16,20,12
291,18,16,20,12
292,15,16,20,12
293,10,16,20,12
294,15,15,19,11
295,12,15,19,11
296,25,15,19,11
297,13,19,23,15
298,20,18,22,14
299,23,17,21,13
300,23,18,22,14
301,22,22,26,18
302,19,23,27,19
303,24,23,27,19
304,29,23,27,19
305,21,22,26,18
306,24,22,26,18
307,18,22,26,18
308,21,22,26,18
309,26,22,26,18
310,18,21,25,17
311,18,21,25,17
312,23,21,25,17
313,17,21,25,17
314,21,21,25,17
315,21,20,24,16
316,21,22,26,18
317,25,22,26,18
318,24,22,26,18
319,28,22,26,18
320,19,21,25,17
321,15,21,25,17
322,23,23,27,19
323,29,23,27,19
324,29,23,27,19
325,20,22,26,18
326,26,22,26,18
327,19,21,25,17
328,21,21,25,17
329,15,20,24,16
330,14,20,24,16
331,19,21,25,17
332,17,20,24,16
333,19,20,24,16
334,18,19,23,15
335,14,18,22,14
336,24,20,24,16
337,13,19,23,15
338,20,18,22,14
339,17,20,24,16
340,11,19,23,15
341,19,16,20,12
342,12,20,24,16
343,15,15,19,11
344,20,16,20,12
345,18,16,20,12
346,13,16,20,12
347,13,16,20,12
348,10,15,19,11
349,18,15,19,11
350,19,15,19,11
351,15,15,19,11
352,14,15,19,11
353,11,14,18,10
354,11,14,18,10
355,11,14,18,10
356,10,13,17,9
357,17,15,19,11
358,19,15,19,11
359,17,15,19,11
360,14,15,19,11
361,12,14,18,10
362,11,13,17,9
363,10,12,16,8
364,11,13,17,9
365,15,14,18,10
366,12,14,18,10
367,10,12,16,8
368,8,12,16,8
369,6,12,16,8
370,12,13,17,9
371,14,13,17,9
372,16,13,17,9
373,8,11,15,7
374,13,13,17,9
375,12,13,17,9
376,9,12,16,8
377,15,13,17,9
378,17,14,18,10
379,15,14,18,10
380,8,12,16,8
381,9,12,16,8
382,11,13,17,9
383,10,12,16,8
384,13,13,17,9
385,12,13,17,9
386,12,13,17,9
387,15,14,18,10
388,15,14,18,10
389,11,13,17,9
390,6,10,14,6
391,7,10,14,6
392,12,12,16,8
393,13,13,17,9
394,5,10,14,6
395,3,10,14,6
396,3,10,14,6
397,11,12,16,8
398,8,10,14,6
399,6,9,13,5
400,4,8,12,4
401,10,9,13,5
402,11,10,14,6
403,4,8,12,4
404,6,8,12,4
405,8,8,12,4
406,19,13,17,9
407,12,12,16,8
408,14,13,17,9
409,10,11,15,7
410,14,13,17,9
411,16,14,18,10
412,14,14,18,10
413,15,14,18,10
414,15,14,18,10
415,11,14,18,10
416,13,14,18,10
417,12,15,19,11
418,12,13,17,9
419,19,15,19,11
420,9,12,16,8
421,8,12,16,8
422,10,12,16,8
423,7,11,15,7
424,3,11,15,7
425,13,14,18,10
426,11,13,17,9
427,16,14,18,10
428,13,14,18,10
429,12,14,18,10
430,10,14,18,10
431,18,14,18,10
432,11,13,17,9
433,10,12,16,8
434,9,12,16,8
435,13,14,18,10
436,12,13,17,9
437,13,13,17,9
438,6,11,15,7
439,15,14,18,10
440,19,14,18,10
441,12,14,18,10
442,13,14,18,10
443,14,14,18,10
444,13,14,18,10
445,16,15,19,11
446,16,15,19,11
447,7,12,16,8
448,14,14,18,10
449,6,12,16,8
450,11,14,18,10
451,17,14,18,10
452,22,16,20,12
453,15,15,19,11
454,13,15,19,11
455,20,16,20,12
456,15,15,19,11
457,17,16,20,12
458,20,17,21,13
459,19,17,21,13
460,13,15,19,11
461,13,16,20,12
462,19,17,21,13
463,20,17,21,13
464,9,15,19,11
465,24,15,19,11
466,10,19,23,15
467,16,15,19,11
468,15,15,19,11
469,11,20,24,16
470,20,15,19,11
471,6,13,17,9
472,10,18,22,14
473,15,15,19,11
474,14,15,19,11
475,11,19,23,15
476,16,15,19,11
477,18,15,19,11
