,Actual sales,Forecasted sales,max_sales,min_sales
0,26,28,36,20
1,38,37,45,29
2,34,33,41,25
3,28,29,37,21
4,35,34,42,26
5,28,29,37,21
6,32,31,39,23
7,48,49,57,41
8,37,36,44,28
9,29,29,37,21
10,18,26,34,18
11,27,30,38,22
12,29,30,38,22
13,38,35,43,27
14,29,29,37,21
15,28,29,37,21
16,23,29,37,21
17,34,29,37,21
18,30,31,39,23
19,20,28,36,20
20,18,26,34,18
21,30,27,35,19
22,25,27,35,19
23,28,27,35,19
24,30,28,36,20
25,15,26,34,18
26,30,26,34,18
27,22,26,34,18
28,20,26,34,18
29,27,26,34,18
30,23,26,34,18
31,18,26,34,18
32,25,26,34,18
33,23,26,34,18
34,25,26,34,18
35,27,26,34,18
36,35,26,34,18
37,30,26,34,18
38,30,26,34,18
39,22,26,34,18
40,22,26,34,18
41,19,26,34,18
42,29,26,34,18
43,21,26,34,18
44,16,26,34,18
45,29,26,34,18
46,18,26,34,18
47,16,26,34,18
48,26,26,34,18
49,35,26,34,18
50,22,26,34,18
51,35,26,34,18
52,20,26,34,18
53,40,30,38,22
54,33,26,34,18
55,28,26,34,18
56,27,27,35,19
57,23,26,34,18
58,24,26,34,18
59,33,28,36,20
60,32,28,36,20
61,31,27,35,19
62,28,28,36,20
63,22,27,35,19
64,19,29,37,21
65,33,27,35,19
66,23,27,35,19
67,32,27,35,19
68,29,27,35,19
69,24,27,35,19
70,28,28,36,20
71,25,27,35,19
72,40,31,39,23
73,27,27,35,19
74,23,27,35,19
75,24,27,35,19
76,28,28,36,20
77,28,27,35,19
78,24,27,35,19
79,26,27,35,19
80,30,27,35,19
81,28,27,35,19
82,24,27,35,19
83,24,29,37,21
84,22,27,35,19
85,40,30,38,22
86,26,27,35,19
87,20,27,35,19
88,23,27,35,19
89,26,27,35,19
90,30,27,35,19
91,25,27,35,19
92,28,26,34,18
93,46,33,41,25
94,26,27,35,19
95,22,27,35,19
96,26,28,36,20
97,22,27,35,19
98,29,27,35,19
99,26,27,35,19
100,22,27,35,19
101,31,27,35,19
102,29,27,35,19
103,23,27,35,19
104,37,36,44,28
105,31,27,35,19
106,33,27,35,19
107,25,27,35,19
108,20,27,35,19
109,25,27,35,19
110,21,27,35,19
111,28,27,35,19
112,19,27,35,19
113,23,27,35,19
114,24,26,34,18
115,29,27,35,19
116,25,26,34,18
117,15,26,34,18
118,25,26,34,18
119,34,26,34,18
120,22,26,34,18
121,22,26,34,18
122,24,26,34,18
123,35,26,34,18
124,29,26,34,18
125,23,26,34,18
126,26,26,34,18
127,23,26,34,18
128,23,26,34,18
129,20,26,34,18
130,40,31,39,23
131,19,26,34,18
132,28,27,35,19
133,19,26,34,18
134,32,27,35,19
135,27,26,34,18
136,25,26,34,18
137,25,26,34,18
138,19,26,34,18
139,27,26,34,18
140,23,26,34,18
141,26,27,35,19
142,23,26,34,18
143,30,26,34,18
144,32,26,34,18
145,23,27,35,19
146,37,30,38,22
147,26,27,35,19
148,20,26,34,18
149,26,26,34,18
150,28,27,35,19
151,33,27,35,19
152,23,27,35,19
153,32,27,35,19
154,27,27,35,19
155,22,27,35,19
156,24,26,34,18
157,16,27,35,19
158,35,26,34,18
159,23,26,34,18
160,30,27,35,19
161,28,26,34,18
162,18,26,34,18
163,33,26,34,18
164,25,26,34,18
165,41,31,39,23
166,28,27,35,19
167,30,27,35,19
168,24,27,35,19
169,24,27,35,19
170,27,27,35,19
171,28,27,35,19
172,37,32,40,24
173,32,28,36,20
174,28,28,36,20
175,28,28,36,20
176,30,30,38,22
177,39,32,40,24
178,37,32,40,24
179,33,29,37,21
180,37,33,41,25
181,16,29,37,21
182,35,30,38,22
183,43,35,43,27
184,29,29,37,21
185,28,29,37,21
186,39,35,43,27
187,38,35,43,27
188,65,65,73,57
189,70,63,71,55
190,59,68,76,60
191,60,64,72,56
192,73,63,71,55
193,63,67,75,59
194,92,65,73,57
195,52,69,77,61
196,69,66,74,58
197,58,68,76,60
198,77,69,77,61
199,83,68,76,60
200,68,69,77,61
201,65,69,77,61
202,69,69,77,61
203,81,69,77,61
204,70,69,77,61
205,69,68,76,60
206,67,69,77,61
207,55,69,77,61
208,87,69,77,61
209,66,69,77,61
210,82,68,76,60
211,83,69,77,61
212,61,69,77,61
213,67,69,77,61
214,67,68,76,60
215,66,69,77,61
216,62,69,77,61
217,77,68,76,60
218,58,69,77,61
219,52,69,77,61
220,48,67,75,59
221,66,69,77,61
222,55,65,73,57
223,58,57,65,49
224,52,56,64,48
225,61,59,67,51
226,44,54,62,46
227,62,58,66,50
228,61,58,66,50
229,54,54,62,46
230,42,53,61,45
231,47,53,61,45
232,44,52,60,44
233,51,52,60,44
234,41,51,59,43
235,58,52,60,44
236,36,49,57,41
237,44,50,58,42
238,61,53,61,45
239,61,53,61,45
240,64,55,63,47
241,49,51,59,43
242,57,52,60,44
243,56,53,61,45
244,50,52,60,44
245,58,55,63,47
246,35,40,48,32
247,31,37,45,29
248,43,53,61,45
