,Actual sales,Forecasted sales,max_sales,min_sales
0,22,25,37,13
1,15,23,35,11
2,27,29,41,17
3,25,28,40,16
4,28,30,42,18
5,40,44,56,32
6,25,28,40,16
7,26,28,40,16
8,27,29,41,17
9,18,23,35,11
10,20,24,36,12
11,22,25,37,13
12,13,24,36,12
13,37,29,41,17
14,30,28,40,16
15,30,28,40,16
16,22,27,39,15
17,26,26,38,14
18,24,26,38,14
19,28,26,38,14
20,21,24,36,12
21,26,26,38,14
22,19,25,37,13
23,16,25,37,13
24,27,28,40,16
25,12,25,37,13
26,19,25,37,13
27,27,25,37,13
28,27,26,38,14
29,23,25,37,13
30,45,28,40,16
31,17,24,36,12
32,18,24,36,12
33,12,23,35,11
34,13,23,35,11
35,18,23,35,11
36,23,24,36,12
37,25,25,37,13
38,24,25,37,13
39,14,24,36,12
40,19,24,36,12
41,16,24,36,12
42,11,22,34,10
43,11,22,34,10
44,12,22,34,10
45,19,23,35,11
46,19,23,35,11
47,28,24,36,12
48,27,24,36,12
49,13,23,35,11
50,19,22,34,10
51,22,23,35,11
52,12,22,34,10
53,29,24,36,12
54,23,23,35,11
55,33,25,37,13
56,34,26,38,14
57,22,24,36,12
58,27,26,38,14
59,24,25,37,13
60,26,25,37,13
61,27,26,38,14
62,17,25,37,13
63,23,25,37,13
64,15,26,38,14
65,28,27,39,15
66,35,29,41,17
67,24,27,39,15
68,25,26,38,14
69,31,27,39,15
70,30,27,39,15
71,43,30,42,18
72,41,30,42,18
73,18,26,38,14
74,12,25,37,13
75,19,25,37,13
76,26,29,41,17
77,24,28,40,16
78,32,28,40,16
79,29,29,41,17
80,30,30,42,18
81,38,31,43,19
82,27,30,42,18
83,22,27,39,15
84,25,25,37,13
85,37,28,40,16
86,21,27,39,15
87,31,30,42,18
88,30,30,42,18
89,26,30,42,18
90,30,31,43,19
91,27,30,42,18
92,41,33,45,21
93,25,29,41,17
94,52,35,47,23
95,21,30,42,18
96,18,30,42,18
97,25,29,41,17
98,32,32,44,20
99,35,32,44,20
100,27,31,43,19
101,48,36,48,24
102,40,35,47,23
103,29,35,47,23
104,50,38,50,26
105,29,37,49,25
106,24,30,42,18
107,35,33,45,21
108,44,38,50,26
109,42,40,52,28
110,47,42,54,30
111,35,39,51,27
112,44,43,55,31
113,49,43,55,31
114,54,45,57,33
115,50,47,59,35
116,52,46,58,34
117,44,45,57,33
118,40,47,59,35
119,46,48,60,36
120,45,48,60,36
121,56,51,63,39
122,37,47,59,35
123,47,50,62,38
124,42,49,61,37
125,43,49,61,37
126,26,46,58,34
127,42,47,59,35
128,47,47,59,35
129,39,45,57,33
130,44,46,58,34
131,60,50,62,38
132,39,47,59,35
133,53,48,60,36
134,50,48,60,36
135,42,46,58,34
136,45,47,59,35
137,29,43,55,31
138,44,48,60,36
139,48,48,60,36
140,36,46,58,34
141,40,47,59,35
142,35,47,59,35
143,50,47,59,35
144,51,48,60,36
145,30,44,56,32
146,30,42,54,30
147,44,44,56,32
148,40,43,55,31
149,37,44,56,32
150,41,44,56,32
151,54,46,58,34
152,44,45,57,33
153,32,43,55,31
154,37,45,57,33
155,48,46,58,34
156,29,40,52,28
157,31,41,53,29
158,41,44,56,32
159,34,42,54,30
160,37,42,54,30
161,41,43,55,31
162,36,43,55,31
163,43,42,54,30
164,53,44,56,32
165,47,44,56,32
166,31,42,54,30
167,52,44,56,32
168,31,42,54,30
169,30,42,54,30
170,41,43,55,31
171,38,43,55,31
172,47,45,57,33
173,64,51,63,39
174,55,50,62,38
175,42,49,61,37
176,68,56,68,44
177,50,51,63,39
178,71,60,72,48
