,Actual sales,Forecasted sales,max_sales,min_sales
0,2,5,10,0
1,5,6,11,1
2,6,7,12,2
3,3,6,11,1
4,6,7,12,2
5,4,6,11,1
6,7,7,12,2
7,13,14,19,9
8,6,7,12,2
9,9,9,14,4
10,8,8,13,3
11,1,6,11,1
12,14,9,14,4
13,9,8,13,3
14,10,8,13,3
15,7,7,12,2
16,5,7,12,2
17,7,7,12,2
18,4,6,11,1
19,9,7,12,2
20,10,7,12,2
21,3,6,11,1
22,3,6,11,1
23,4,6,11,1
24,8,6,11,1
25,8,6,11,1
26,9,6,11,1
27,5,6,11,1
28,5,6,11,1
29,6,6,11,1
30,5,6,11,1
31,14,8,13,3
32,13,8,13,3
33,12,9,14,4
34,12,9,14,4
35,9,9,14,4
36,12,10,15,5
37,14,11,16,6
38,9,10,15,5
39,7,10,15,5
40,12,11,16,6
41,7,10,15,5
42,8,10,15,5
43,9,10,15,5
44,9,10,15,5
45,14,11,16,6
46,11,10,15,5
47,13,11,16,6
48,7,9,14,4
49,13,11,16,6
50,11,11,16,6
51,18,14,19,9
52,13,14,19,9
53,6,13,18,8
54,17,15,20,10
55,24,16,21,11
56,19,19,24,14
57,24,18,23,13
58,29,20,25,15
59,21,21,26,16
60,19,19,24,14
61,16,18,23,13
62,12,16,21,11
63,17,17,22,12
64,24,17,22,12
65,27,20,25,15
66,20,18,23,13
67,18,17,22,12
68,14,16,21,11
69,16,16,21,11
70,11,16,21,11
71,12,16,21,11
72,18,18,23,13
73,16,18,23,13
74,13,16,21,11
75,20,17,22,12
76,13,15,20,10
77,18,18,23,13
78,12,16,21,11
79,16,17,22,12
80,19,18,23,13
81,26,20,25,15
82,12,16,21,11
83,16,17,22,12
84,19,18,23,13
85,23,19,24,14
86,19,18,23,13
87,28,20,25,15
88,20,19,24,14
89,24,20,25,15
90,13,17,22,12
91,8,16,21,11
92,19,17,22,12
93,18,17,22,12
94,16,16,21,11
95,23,18,23,13
96,26,18,23,13
97,6,15,20,10
98,15,16,21,11
99,16,15,20,10
100,5,11,16,6
101,9,11,16,6
102,5,10,15,5
103,12,11,16,6
104,10,10,15,5
105,9,10,15,5
106,12,10,15,5
107,9,9,14,4
108,4,8,13,3
109,6,7,12,2
110,5,7,12,2
111,11,8,13,3
112,3,6,11,1
113,8,7,12,2
114,4,6,11,1
115,8,6,11,1
116,6,6,11,1
117,12,7,12,2
118,10,7,12,2
119,11,7,12,2
120,8,7,12,2
121,16,10,15,5
122,8,11,16,6
123,8,11,16,6
124,5,10,15,5
125,7,10,15,5
126,6,8,13,3
127,10,9,14,4
128,8,8,13,3
129,9,8,13,3
130,5,7,12,2
131,7,7,12,2
132,6,7,12,2
133,6,7,12,2
134,5,6,11,1
135,6,6,11,1
136,5,6,11,1
137,6,6,11,1
138,12,8,13,3
139,24,11,16,6
140,7,9,14,4
141,3,7,12,2
142,9,9,14,4
143,8,9,14,4
144,12,10,15,5
145,6,9,14,4
146,8,9,14,4
147,4,9,14,4
148,8,9,14,4
149,18,12,17,7
150,5,12,17,7
151,12,17,22,12
152,11,17,22,12
153,15,16,21,11
154,16,17,22,12
155,16,17,22,12
156,12,16,21,11
