,Period,espresso Lungo Sales,cappuccino classic Sales,Caramel flavor syrup Sales,Latte Classic Sales,cappuccino Grande Sales,Espresso with cream Sales,espresso classic Sales,Hazelnut flavor syrup Sales
0,03/01/2012,22.0,26.0,4.0,8.0,7.0,9.0,2.0,6.0
1,04/01/2012,15.0,38.0,4.0,6.0,7.0,9.0,5.0,8.0
2,05/01/2012,27.0,34.0,0.0,7.0,6.0,6.0,6.0,8.0
3,06/01/2012,25.0,28.0,0.0,8.0,8.0,8.0,3.0,0.0
4,07/01/2012,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,08/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09/01/2012,28.0,35.0,8.0,14.0,7.0,8.0,6.0,0.0
7,10/01/2012,40.0,28.0,4.0,11.0,9.0,10.0,4.0,6.0
8,11/01/2012,25.0,32.0,4.0,14.0,5.0,3.0,7.0,8.0
9,12/01/2012,26.0,48.0,26.0,7.0,7.0,10.0,13.0,0.0
10,13/01/2012,27.0,37.0,8.0,10.0,5.0,6.0,6.0,6.0
11,14/01/2012,0.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0
12,15/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16/01/2012,18.0,29.0,16.0,7.0,6.0,7.0,9.0,0.0
14,17/01/2012,20.0,18.0,0.0,8.0,11.0,6.0,8.0,8.0
15,18/01/2012,22.0,27.0,4.0,9.0,7.0,5.0,1.0,0.0
16,19/01/2012,13.0,29.0,20.0,5.0,10.0,11.0,14.0,0.0
17,20/01/2012,37.0,38.0,10.0,12.0,3.0,11.0,9.0,10.0
18,21/01/2012,27.0,21.0,10.0,11.0,3.0,4.0,2.0,8.0
19,22/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,23/01/2012,30.0,29.0,0.0,13.0,5.0,5.0,10.0,0.0
21,24/01/2012,30.0,28.0,4.0,15.0,8.0,9.0,7.0,4.0
22,25/01/2012,22.0,23.0,10.0,9.0,5.0,7.0,5.0,4.0
23,26/01/2012,26.0,34.0,22.0,12.0,11.0,3.0,7.0,0.0
24,27/01/2012,24.0,30.0,0.0,11.0,8.0,7.0,4.0,12.0
25,28/01/2012,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0
26,29/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,30/01/2012,28.0,20.0,12.0,7.0,7.0,8.0,9.0,6.0
28,31/01/2012,21.0,18.0,6.0,9.0,17.0,13.0,10.0,6.0
29,01/02/2012,26.0,30.0,0.0,10.0,11.0,7.0,3.0,4.0
30,02/02/2012,19.0,25.0,0.0,7.0,12.0,9.0,3.0,24.0
31,03/02/2012,16.0,28.0,6.0,5.0,10.0,9.0,4.0,0.0
32,04/02/2012,2.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0
33,05/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,06/02/2012,27.0,30.0,4.0,9.0,12.0,12.0,8.0,0.0
35,07/02/2012,12.0,15.0,4.0,10.0,7.0,13.0,8.0,0.0
36,08/02/2012,19.0,30.0,0.0,14.0,8.0,8.0,9.0,10.0
37,09/02/2012,27.0,22.0,0.0,11.0,2.0,8.0,5.0,0.0
38,10/02/2012,27.0,20.0,10.0,7.0,13.0,4.0,5.0,12.0
39,11/02/2012,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
40,12/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,13/02/2012,23.0,27.0,0.0,4.0,8.0,8.0,6.0,0.0
42,14/02/2012,45.0,23.0,4.0,10.0,8.0,12.0,5.0,0.0
43,15/02/2012,17.0,18.0,4.0,7.0,5.0,10.0,14.0,8.0
44,16/02/2012,18.0,25.0,4.0,16.0,6.0,5.0,13.0,8.0
45,17/02/2012,12.0,23.0,4.0,9.0,6.0,8.0,12.0,0.0
46,18/02/2012,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0
47,19/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,20/02/2012,13.0,25.0,8.0,7.0,3.0,11.0,12.0,0.0
49,21/02/2012,18.0,27.0,8.0,7.0,10.0,10.0,9.0,8.0
50,22/02/2012,23.0,35.0,14.0,9.0,9.0,7.0,12.0,10.0
51,23/02/2012,25.0,30.0,0.0,8.0,10.0,12.0,14.0,0.0
52,24/02/2012,24.0,30.0,8.0,6.0,11.0,10.0,9.0,4.0
53,25/02/2012,0.0,2.0,0.0,2.0,1.0,2.0,0.0,4.0
54,26/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,27/02/2012,14.0,22.0,8.0,15.0,7.0,9.0,7.0,0.0
56,28/02/2012,19.0,22.0,8.0,8.0,7.0,6.0,12.0,0.0
57,29/02/2012,16.0,19.0,10.0,6.0,7.0,8.0,7.0,10.0
58,01/03/2012,11.0,29.0,0.0,4.0,7.0,10.0,8.0,4.0
59,02/03/2012,11.0,21.0,0.0,5.0,8.0,5.0,9.0,0.0
60,03/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,04/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,05/03/2012,12.0,16.0,4.0,4.0,6.0,7.0,9.0,4.0
63,06/03/2012,19.0,29.0,0.0,7.0,12.0,9.0,14.0,4.0
64,07/03/2012,19.0,18.0,6.0,6.0,5.0,6.0,11.0,0.0
65,08/03/2012,28.0,16.0,4.0,15.0,4.0,6.0,13.0,0.0
66,09/03/2012,27.0,26.0,4.0,6.0,8.0,6.0,7.0,0.0
67,10/03/2012,0.0,8.0,0.0,4.0,5.0,10.0,0.0,4.0
68,11/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,12/03/2012,13.0,35.0,0.0,9.0,12.0,15.0,13.0,4.0
70,13/03/2012,19.0,22.0,0.0,10.0,11.0,8.0,11.0,6.0
71,14/03/2012,22.0,35.0,12.0,11.0,11.0,3.0,18.0,4.0
72,15/03/2012,12.0,20.0,0.0,8.0,5.0,2.0,13.0,10.0
73,16/03/2012,29.0,40.0,8.0,9.0,8.0,11.0,6.0,10.0
74,17/03/2012,12.0,24.0,0.0,8.0,5.0,8.0,7.0,12.0
75,18/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,19/03/2012,23.0,33.0,4.0,11.0,13.0,6.0,17.0,0.0
77,20/03/2012,33.0,28.0,16.0,14.0,9.0,9.0,24.0,0.0
78,21/03/2012,34.0,27.0,4.0,12.0,12.0,10.0,19.0,4.0
79,22/03/2012,22.0,23.0,8.0,12.0,7.0,13.0,24.0,12.0
80,23/03/2012,27.0,24.0,14.0,19.0,6.0,15.0,29.0,16.0
81,24/03/2012,0.0,17.0,0.0,9.0,3.0,13.0,0.0,0.0
82,25/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,26/03/2012,24.0,33.0,4.0,9.0,7.0,8.0,21.0,10.0
84,27/03/2012,26.0,32.0,12.0,11.0,14.0,6.0,19.0,8.0
85,28/03/2012,27.0,31.0,0.0,8.0,7.0,7.0,16.0,36.0
86,29/03/2012,17.0,28.0,12.0,9.0,5.0,5.0,12.0,8.0
87,30/03/2012,23.0,22.0,0.0,11.0,4.0,7.0,17.0,4.0
88,31/03/2012,0.0,5.0,0.0,3.0,1.0,3.0,0.0,0.0
89,01/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,02/04/2012,15.0,19.0,8.0,9.0,10.0,9.0,24.0,12.0
91,03/04/2012,28.0,33.0,12.0,7.0,13.0,9.0,27.0,4.0
92,04/04/2012,35.0,23.0,10.0,6.0,10.0,12.0,20.0,0.0
93,05/04/2012,24.0,32.0,8.0,10.0,7.0,13.0,18.0,8.0
94,06/04/2012,25.0,29.0,10.0,7.0,8.0,7.0,14.0,0.0
95,07/04/2012,0.0,12.0,0.0,5.0,0.0,6.0,0.0,0.0
96,08/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,09/04/2012,31.0,24.0,4.0,3.0,7.0,7.0,16.0,12.0
98,10/04/2012,30.0,28.0,0.0,9.0,12.0,7.0,11.0,0.0
99,11/04/2012,43.0,25.0,10.0,4.0,10.0,7.0,12.0,4.0
100,12/04/2012,41.0,40.0,0.0,10.0,8.0,8.0,18.0,4.0
101,13/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,14/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,15/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
